-22.161,-18.589,-14.76,29.536,22.151,18.513,-35.499,-27.975,-22.37,36.691,29.553,25.361,-38.739,-28.899,-24.61,35.248,29.209,23.138,-45.373,-37.437,-32.011,47.644,41.115,34.35,-22.571,-19.705,-16.986,28.576,22.581,17.586,-29.366,-25.078,-19.971,32.164,24.399,19.986,-23.972,-19.797,-16.342,31.534,23.518,19.163,-31.473,-28.255,-22.789,40.169,32.636,27.922,-49.316,-43.349,-35.756,56.017,43.577,37.25
-20.85,-17.286,-13.956,23.392,19.222,16.394,-35.719,-27.591,-21.704,35.237,30.143,26.241,-32.315,-27.27,-22.944,35.486,30.501,24.623,-44.555,-39.367,-31.529,47.38,39.77,33.149,-23.94,-18.477,-14.476,26.616,22.215,18.079,-32.498,-27.899,-23.641,36.441,30.258,25.131,-24.758,-16.943,-14.359,27.661,22.796,19.156,-35.085,-26.959,-20.623,35.51,29.745,25.522,-61.09,-47.674,-38.187,62.024,51.556,45.272
-26.439,-21.842,-16.686,27.782,21.96,18.801,-37.375,-30.949,-25.588,41.269,33.985,27.302,-35.879,-29.803,-25.027,35.054,28.233,24.336,-44.55,-33.857,-30.691,48.425,41.381,32.456,-24.05,-20.161,-16.731,26.782,23.264,19.373,-46.248,-33.728,-26.885,45.911,37.138,28.74,-31.459,-22.788,-18.867,31.5,25.387,20.222,-32.638,-27.016,-22.137,33.261,29.096,22.343,-57.28,-42.924,-37.21,59.159,48.271,39.232
-25.607,-21.474,-17.241,24.912,20.231,17.071,-36.29,-29.182,-24.409,33.547,27.153,23.118,-37.442,-29.204,-24.01,36.746,31.485,26.337,-47.486,-39.743,-32.735,48.827,40.108,31.218,-29.03,-21.627,-16.966,28.789,21.144,17.976,-40.038,-31.494,-25.941,37.763,31.776,26.718,-27.507,-23.176,-19.654,28.251,24.222,21.845,-33.302,-26.092,-21.39,35.57,28.865,25.133,-69.505,-53.292,-43.603,64.896,55.644,45.602
-24.522,-18.872,-15.893,24.718,20.936,17.695,-32.837,-27.686,-23.424,35.535,27.787,22.35,-33.414,-26.985,-23.913,34.017,29.525,24.289,-43.115,-35.443,-27.929,49.05,40.896,34.771,-28.682,-24.415,-17.912,29.857,24.28,19.676,-44.463,-33.15,-27.53,39.183,33.938,27.542,-30.439,-23.613,-18.483,30.036,24.152,20.68,-38.342,-32.133,-25.865,36.553,33.237,27.502,-78.34,-59.62,-47.336,84.404,71.284,55.273
-22.942,-19.371,-15.203,24.571,20.969,16.862,-29.131,-24.319,-20.787,34.814,28.791,24.103,-32.834,-27.603,-22.538,34.442,28.548,24.266,-45.045,-35.336,-27.551,43.365,36.048,28.829,-26.117,-20.601,-16.628,26.075,22.675,19.143,-43.195,-35.47,-28.487,39.305,34.244,27.78,-24.461,-20.313,-16.653,28.769,23.866,18.98,-38.289,-29.741,-24.635,36.08,30.476,26.141,-72.889,-62.404,-50.72,72.389,60.892,50.309
-24.272,-19.301,-15.122,22.837,19.732,16.382,-29.954,-26.217,-21.34,33.216,27.464,22.645,-37.324,-29.129,-22.655,32.984,26.248,22.489,-40.124,-33.95,-27.611,40.455,35.186,31.038,-24.877,-20.36,-16.039,27.036,22.346,18.899,-39.431,-33.161,-26.558,36.7,29.564,25.284,-24.839,-20.567,-16.581,28.388,22.416,19.089,-37.822,-29.666,-24.732,36.858,31.047,24.594,-60.862,-53.221,-46.565,71.922,53.199,43.615
-25.353,-19.358,-14.723,24.621,20.318,16.621,-31.492,-23.353,-18.886,30.384,24.28,20.642,-35.048,-27.984,-22.759,34.426,28.019,23.131,-40.138,-34.307,-28.452,38.691,33.16,28.629,-24.701,-19.122,-15.278,28.155,22.712,18.072,-37.593,-31.259,-25.16,39.587,32.773,27.974,-26.163,-21.361,-16.29,27.62,22.516,17.932,-35.669,-30.215,-23.97,39.751,32.115,27.768,-63.787,-53.294,-43.756,70.333,52.213,42.734
-23.694,-17.827,-13.964,24.086,19.724,16.228,-25.946,-21.996,-17.792,26.812,21.852,18.926,-25.679,-22.588,-17.045,26.331,21.399,18.177,-31.788,-28.036,-23.48,36.745,27.794,22.368,-20.693,-17.59,-15.04,23.582,18.551,15.638,-36.335,-27.332,-22.101,31.06,27.352,21.708,-22.697,-18.178,-15.022,23.994,19.614,15.824,-31.896,-28.314,-21.926,32.286,27.612,23.675,-57.524,-48.367,-38.32,60.506,48.5,38.737
-20.292,-17.77,-13.775,22.618,19.417,14.856,-31.133,-23.637,-18.697,27.247,24.319,19.292,-27.549,-23.089,-19.975,30.012,24.495,19.904,-32.459,-27.935,-22.28,32.808,26.451,23.534,-24.942,-19.907,-15.523,22.855,18.582,16.492,-26.607,-23.546,-19.472,29.952,25.374,20.679,-23.184,-18.95,-15.512,24.554,20.109,16.73,-32.924,-27.331,-22.157,33.681,27.691,23.35,-53.059,-43.068,-36.508,58.838,44.056,36.094
